Source Page Title	URL	Domain Score	Page Score	Link Type	Anchor Backlink	First Seen	Last Seen
Alunos criam software que formata textos conforme normas da ABNT - Notícias - UOL Educação	https://educacao.uol.com.br/noticias/2015/08/27/alunos-criam-software-que-formata-textos-conforme-normas-da-abnt.htm?cmpid=fb-uolnot	0	98	Text	blog	2018-11-21	2018-11-21
Monografia: melhor usar word, pages ou polaris? - Página 2 - Aplicativos (apps) - MM Fórum	https://forum.macmagazine.uol.com.br/topic/150485-monografia-melhor-usar-word-pages-ou-polaris/?page=2	0	98	Text	http://fastformat.co/	2018-11-17	2018-11-17
Plataforma de formatação científica lança prêmio para monografias	http://atarde.uol.com.br/educacao/noticias/1857085-plataforma-de-formatacao-cientifica-lanca-premio-para-monografias	0	98	Text	site do projeto	2018-09-21	2018-09-21
	https://revistagalileu.globo.com/Tecnologia/noticia/2015/08/ferramenta-online-ajuda-usuarios-padronizar-trabalhos-nas-normas-da-abnt.html	0	96	Text	Fast Format	2018-07-27	2018-08-04
A Internet te deixa mais feliz	https://us8.campaign-archive.com/?u=3aa82590c00e9fe4fc2f90fd1&id=ee3c4b6e7e	0	85	Text	Fast Format	2018-11-02	2018-11-02
Fast Format | Soluções Tecnológica | Boletim Técnico do PPEC	https://econtents.bc.unicamp.br/boletins/index.php/ppec/article/view/9054/0	0	83	Text	https://fastformat.co/m/help/videos	2018-10-21	2018-10-21
Ferramenta gratuita ajusta textos conforme as normas da ABNT	https://catracalivre.com.br/educacao/ferramenta-gratuita-ajusta-textos-conforme-as-normas-da-abnt/	0	82	Text	neste link	2019-04-10	2019-04-10
Normalização (ABNT, issn, etc)	http://biblioteca.far.fiocruz.br/index.php/menunormalizacao	0	82	Text	Blog Fastformat	2018-12-13	2019-04-06
Como escolher o método de pesquisa mais adequado para sua monografia? | Blog da BC	https://www.ufrgs.br/blogdabc/como-escolher-o-metodo-de-pesquisa-mais-adequado-para-sua-monografia/	0	82	Text	Blog FastFormat	2018-03-10	2019-03-16
Orientações | Zona Digital	http://zonadigital.pacc.ufrj.br/orientacoes/	0	82	Text	Clique aqui	2018-03-10	2019-02-24
FastFormat edita artigos acadêmicos e monografias com regras da ABNT | Notícias | TechTudo	https://www.techtudo.com.br/noticias/noticia/2015/09/fastformat-edita-artigos-academicos-com-regras-da-abnt.html	0	82	Text	FastFormat	2018-08-01	2019-04-05
Ciências Contábeis de Volta Redonda	http://cienciascontabeisvr.sites.uff.br/biblioteca-virtual/	0	81	Text	FastFormat	2018-12-20	2019-01-25
Site gratuito permite transformar qualquer texto no modelo acadêmico	http://noticias.universia.com.br/destaque/noticia/2015/09/02/1130727/site-gratuito-permite-transformar-qualquer-texto-modelo-academico.html	0	80	Text	Guia Acadêmico	2018-09-18	2019-03-23
Estudantes criam aplicativo que organiza texto com normas da ABNT - Jornal CORREIO | Notícias e opiniões que a Bahia quer saber	https://www.correio24horas.com.br/noticia/nid/estudantes-criam-aplicativo-que-organiza-texto-com-normas-da-abnt/	0	79	Text	um blog	2018-05-13	2019-04-15
FastFormat padroniza trabalhos acadêmicos nas normas ABNT –	https://tecnoblog.net/184226/formatacao-padrao-abnt-automatico/	0	79	Text	FastFormat	2018-06-21	2019-04-10
